Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
0.0000500,0.0021243,-0.0005046,0.0005066,0.0014465,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0001000,0.0023558,0.0008546,0.0004262,0.0037641,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0001500,0.0020508,0.0001871,0.0005330,-0.0020342,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0002000,0.0013321,-0.0006764,0.0001372,-0.0012157,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0002500,-0.0021056,0.0017292,-0.0000049,-0.0007568,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0003000,-0.0016856,0.0018519,0.0008310,-0.0008490,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0003500,-0.0014617,0.0006820,0.0029788,0.0037398,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0004000,-0.0016433,-0.0001802,0.0033864,0.0009502,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0004500,-0.0019864,-0.0007832,0.0024064,-0.0010105,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0005000,-0.0010549,-0.0024306,0.0029047,0.0024729,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0005500,-0.0007568,-0.0030558,0.0020155,-0.0021645,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0006000,-0.0003992,-0.0025096,0.0010660,0.0021797,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0006500,0.0014063,-0.0020217,0.0011422,0.0025457,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0007000,0.0042645,-0.0016876,0.0003417,-0.0029484,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0007500,0.0058828,0.0012364,-0.0011533,0.0029484,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0008000,0.0046741,0.0017278,-0.0017008,-0.0019011,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0008500,0.0045140,0.0023260,-0.0006758,0.0003043,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0009000,0.0037863,0.0028797,0.0000839,0.0032762,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0009500,0.0022913,0.0016863,0.0005607,-0.0016419,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0010000,-0.0021458,0.0001206,0.0038438,0.0046734,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0010500,-0.0039062,-0.0008955,0.0032561,-0.0000333,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0011000,-0.0057449,-0.0013044,0.0019198,0.0011859,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0011500,-0.0066050,-0.0029331,0.0016350,0.0066896,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0012000,-0.0063985,-0.0029276,0.0025027,0.0002523,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0012500,-0.0040365,-0.0002467,-0.0000832,0.0043775,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0013000,-0.0033531,-0.0002509,-0.0010569,0.0023377,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0013500,-0.0001871,0.0005281,-0.0005829,-0.0037454,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0014000,0.0022982,0.0023045,-0.0010750,-0.0005018,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0014500,0.0040996,0.0019836,-0.0015463,0.0007125,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0015000,0.0053117,0.0011159,0.0005046,0.0003854,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0015500,0.0054303,0.0013695,0.0016384,0.0017708,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0016000,0.0042562,0.0018983,0.0025949,-0.0000069,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0016500,0.0025616,-0.0000651,0.0026704,0.0033289,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0017000,0.0018602,-0.0022622,0.0028465,0.0042638,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0017500,-0.0025096,-0.0019725,0.0035437,0.0015948,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0018000,-0.0058413,-0.0032692,0.0033254,0.0040268,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0018500,-0.0068511,-0.0027356,0.0028874,-0.0000887,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0019000,-0.0050768,-0.0017327,0.0010424,-0.0023031,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0019500,-0.0022705,-0.0006335,0.0002474,-0.0005032,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0020000,0.0024722,0.0002710,-0.0011172,-0.0004914,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0020500,0.0048280,0.0009585,-0.0014977,0.0013390,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0021000,0.0061025,0.0021562,-0.0000797,0.0004741,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0021500,0.0064227,0.0020051,-0.0005600,0.0009987,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0022000,0.0059009,0.0017840,-0.0019829,0.0035139,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0022500,0.0030710,-0.0002433,0.0005032,0.0023759,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0023000,0.0008449,-0.0018692,0.0019365,0.0016793,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0023500,-0.0024064,-0.0013972,0.0025429,0.0004470,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0024000,-0.0056049,-0.0016142,0.0032457,0.0009197,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0024500,-0.0080134,-0.0022497,0.0032582,0.0004207,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0025000,-0.0090897,-0.0002855,0.0021305,-0.0023350,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0025500,-0.0077632,0.0005101,0.0025048,-0.0004775,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0026000,-0.0058988,0.0004366,0.0019787,-0.0001220,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0026500,-0.0036213,0.0009169,0.0004602,-0.0010445,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0027000,-0.0018997,0.0013882,-0.0005226,0.0004533,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0027500,0.0014201,0.0006647,-0.0008462,0.0024611,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0028000,0.0027938,0.0000388,-0.0004817,0.0009710,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0028500,0.0022858,0.0001462,0.0002363,0.0023585,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0029000,0.0016523,-0.0004741,-0.0000582,0.0032034,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0029500,0.0010188,-0.0019233,0.0002052,0.0020855,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0030000,0.0004734,-0.0025242,0.0017265,0.0014804,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0030500,0.0006231,-0.0026032,0.0020501,0.0006071,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0031000,0.0010029,-0.0028777,0.0022331,-0.0005621,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0031500,0.0006210,-0.0027155,0.0016294,-0.0004567,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0032000,0.0019517,-0.0015359,0.0018651,-0.0006196,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0032500,0.0034141,-0.0013175,-0.0014756,-0.0009932,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0033000,0.0065399,0.0031036,0.0012739,-0.0006737,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0033500,0.0056638,-0.0000513,0.0039568,0.0003957,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0034000,0.0047205,0.0009405,-0.0015372,0.0010223,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0034500,0.0057706,0.0002135,-0.0012427,0.0006557,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0035000,0.0025200,0.0001268,-0.0026136,0.0034127,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0035500,0.0018436,0.0016696,0.0004034,0.0021333,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0036000,-0.0001636,-0.0016447,0.0030890,0.0016953,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0036500,0.0017001,0.0004463,-0.0003756,0.0018373,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0037000,0.0006106,-0.0026094,0.0017057,0.0020210,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0037500,-0.0000686,-0.0017923,-0.0019330,-0.0007062,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0038000,0.0005607,-0.0000083,0.0018172,0.0008213,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0038500,0.0002890,0.0001379,0.0027217,0.0024161,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0039000,-0.0005247,-0.0003271,-0.0003964,0.0007263,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0039500,-0.0017611,0.0014014,0.0023620,0.0005337,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0040000,-0.0029768,0.0010854,0.0003278,0.0019462,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0040500,-0.0028673,-0.0007478,0.0013848,-0.0003410,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0041000,-0.0041030,-0.0010750,0.0023343,0.0008864,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0041500,-0.0038570,-0.0006577,0.0018879,0.0003833,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0042000,-0.0025443,-0.0014846,0.0005330,-0.0035077,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0042500,0.0003361,-0.0011360,0.0008386,-0.0002890,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0043000,0.0014894,-0.0042208,-0.0003895,-0.0032325,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0043500,0.0036809,-0.0018976,0.0003860,0.0009849,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0044000,0.0045015,-0.0021167,0.0012496,0.0026677,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0044500,0.0043934,-0.0001760,0.0010431,0.0006709,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0045000,0.0006577,0.0015116,0.0009031,0.0041439,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0045500,-0.0019247,0.0003666,0.0005115,0.0018353,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0046000,-0.0039457,0.0020203,0.0014783,0.0041903,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0046500,-0.0049430,0.0007097,0.0015657,0.0040933,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0047000,-0.0057096,0.0024161,0.0009606,0.0006120,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0047500,-0.0053478,0.0013584,0.0006175,0.0022172,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0048000,-0.0042465,-0.0027418,0.0000742,-0.0025055,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0048500,-0.0032290,-0.0012593,0.0004304,-0.0022518,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0049000,-0.0009169,-0.0026150,0.0000229,0.0026517,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0049500,-0.0000700,-0.0020169,0.0003050,-0.0028555,-0.0000000,-0.0000000,-0.0000000,-0.0000000
0.0050000,0.0003264,-0.0002315,0.0022317,0.0033219,-0.0000000,-0.0000000,-0.0000000,-0.0000000
